feature,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
service,0.10598327942149713,10,0.00010344416948284695,12,3,injection,True,False,False,0.02524178310637964,0.0005181644807027904,0.012879973793541217
duration,1.4536038647458283,4,0.0558226491256157,3,3,injection,True,True,True,0.3462013411623784,0.27962246823804904,0.3129119047002137
src_bytes,4.198723956023169,1,0.199635778474327,1,3,injection,True,True,True,1.0,1.0,1.0
dst_bytes,2.7850784979409036,2,0.02471433664696001,6,3,injection,True,True,True,0.6633154565795263,0.1237971311346791,0.39355629385710267
conn_state,1.420932360055637,5,0.08800261880932955,2,3,injection,True,True,True,0.338420047361598,0.4408158671850828,0.38961795727334037
src_pkts,0.37557855008731433,7,0.05091703970370705,4,3,injection,True,True,True,0.08945064119981928,0.25504967142077156,0.17225015631029542
src_ip_bytes,0.801904047037682,6,0.008782284091001102,8,3,injection,True,True,True,0.19098756084865537,0.04399153377274253,0.11748954731069895
dst_pkts,0.3018534058101809,9,0.003571422156730808,9,3,injection,True,True,True,0.07189170066233218,0.01788968983428033,0.04489069524830625
dst_ip_bytes,1.696993792816652,3,0.04403407536307698,5,3,injection,True,True,True,0.4041689357506521,0.2205720622806083,0.3123704990156302
dns_query,0.3536517612728503,8,0.0195508811057127,7,3,injection,True,True,True,0.0842283905722186,0.09793275160958649,0.09108057109090255
dns_rcode,0.029039565291609854,13,0.0006294603277840372,11,3,injection,False,False,False,0.0069162835175081965,0.0031530436708016507,0.005034663594154923
dns_AA,0.004120136410460521,14,4.614543268819382e-05,13,3,injection,False,False,False,0.0009812829930269857,0.00023114810902559774,0.0006062155510262918
dns_RD,0.033592793894396795,12,-8.12804509656706e-05,14,3,injection,False,False,False,0.008000715037769305,0.0,0.004000357518884653
proto,0.07195568095033548,14,0.031681767280436215,7,4,mitm,False,True,False,0.027329557704902793,0.25994441919977146,0.14363698845233713
service,0.5404883271073345,10,0.03128567681391892,8,4,mitm,True,True,True,0.2052834012466865,0.25669455294837124,0.23098897709752886
duration,1.6187536488849332,2,0.09564516633126356,2,4,mitm,True,True,True,0.6148204099097817,0.7847550608895049,0.6997877353996433
src_bytes,1.1308823091837898,4,0.029934909880426085,9,4,mitm,True,True,True,0.4295215182193062,0.24561170132292318,0.3375666097711147
dst_bytes,0.7719257271132919,7,0.08254343486353018,3,4,mitm,True,True,True,0.2931858669727925,0.6772572074160849,0.48522153719443867
conn_state,0.686357907241249,8,0.019393758460941445,10,4,mitm,True,True,True,0.26068626944289347,0.15912304495535914,0.20990465719912632
src_pkts,1.0950748336983618,5,0.06133047220083856,4,4,mitm,True,True,True,0.4159214458605811,0.5032078493089418,0.45956464758476145
src_ip_bytes,1.3269633319159284,3,0.038095360671737535,6,4,mitm,True,True,True,0.5039952436405559,0.3125670457826898,0.40828114471162286
dst_pkts,0.29767533285242276,11,0.0033502264140271576,11,4,mitm,False,False,False,0.1130603599197612,0.02748813384282999,0.07027424688129559
dst_ip_bytes,2.6328886009533545,1,0.12187900543495903,1,4,mitm,True,True,True,1.0,1.0,1.0
dns_query,0.9834806526056219,6,0.060564964565212764,5,4,mitm,True,True,True,0.3735367505672321,0.4969269674384845,0.4352318590028583
dns_rcode,0.1936867599151826,13,-0.0003392500629989303,13,4,mitm,False,False,False,0.07356435811414494,0.0,0.03678217905707247
dns_AA,0.6438711827848519,9,0.000477907751907547,12,4,mitm,True,False,False,0.24454934498622907,0.003921165505100741,0.12423525524566491
dns_RD,0.2924814415203937,12,-0.0007913381641788453,14,4,mitm,False,False,False,0.11108766296245415,0.0,0.055543831481227074
proto,2.7972522663330284,1,0.06368233234189051,2,5,normal,True,True,True,1.0,0.6942165502190366,0.8471082751095182
service,0.27283232133753216,11,0.0002715970532219059,11,5,normal,False,False,False,0.09753582993613703,0.00296074534966962,0.05024828764290332
duration,0.9551752791181931,6,0.021715439005483138,7,5,normal,True,True,True,0.34146912333021384,0.2367252674092445,0.28909719536972917
src_bytes,0.43108793066048645,9,0.0305933319388068,5,5,normal,True,True,True,0.1541112097213913,0.33350533149825634,0.24380827060982382
dst_bytes,0.11305861270340202,13,0.009020650107321426,8,5,normal,False,True,False,0.040417739245095945,0.09833629466674393,0.06937701695591994
conn_state,0.7519609232091808,7,0.04106779874830706,3,5,normal,True,True,True,0.2688212758854749,0.4476900346406664,0.3582556552630707
src_pkts,2.263361454189458,2,0.09173266226769976,1,5,normal,True,True,True,0.8091374101044315,1.0,0.9045687050522158
src_ip_bytes,1.34657978853532,4,0.023495230618345863,6,5,normal,True,True,True,0.4813937608496702,0.25612720744744844,0.36876048414855933
dst_pkts,1.1543327560275136,5,0.008742387363591675,9,5,normal,True,True,True,0.412666662181581,0.0953028850081677,0.25398477359487437
dst_ip_bytes,0.6475557230174461,8,0.0400190147241674,4,5,normal,True,True,True,0.23149707690337823,0.4362569856239592,0.33387703126366874
dns_query,1.6700901666676247,3,0.005949203478562093,10,5,normal,True,True,True,0.5970466756854139,0.06485371002534267,0.3309501928553783
dns_rcode,0.062150999839719015,14,0.00015702525252645483,13,5,normal,False,False,False,0.022218589502188142,0.0017117703623188687,0.011965179932253505
dns_AA,0.11513039184201795,12,6.965023500082879e-05,14,5,normal,False,False,False,0.04115838718863372,0.0007592741045449144,0.020958830646589315
dns_RD,0.38041862960477824,10,0.0002116419677549164,12,5,normal,True,False,False,0.1359972549431433,0.0023071604216313934,0.06915220768238735
proto,0.06292074837227656,13,0.0002849595398365379,11,6,password,False,False,False,0.011215113292249113,0.0008774008226735635,0.006046257057461338
service,0.16695378696973387,10,0.001073120343899281,8,6,password,True,True,True,0.02975815901548602,0.003304176702085756,0.01653116785878589
duration,1.0869172099784103,6,0.002154117078171325,5,6,password,True,True,True,0.19373418092678263,0.006632605097575863,0.10018339301217924
src_bytes,3.678928991378573,2,0.3247769234683712,1,6,password,True,True,True,0.655739267249876,1.0,0.827869633624938
dst_bytes,0.6052335058831316,7,0.0027574563499729752,4,6,password,True,True,True,0.10787796573213027,0.008490308734147219,0.05818413723313874
