class_id,class_name,feature,metric,baseline_score,permuted_score_mean,cpf_importance_mean,cpf_importance_std,conditioning_features,repeats,rank_cpf
1,ddos,dns_rejected,f1,0.9868907804475092,0.9862496540083783,0.0006411264391310123,8.076660059169471e-05,dns_AA;dns_RD,5,12
1,ddos,dns_RD,f1,0.9868907804475092,0.9866653210248797,0.00022545942262945927,8.074741772718699e-05,dns_RA;dns_rejected,5,13
1,ddos,http_status_code,f1,0.9868907804475092,0.9867490214385752,0.00014175900893409477,0.0,http_response_body_len;http_request_body_len,5,14
1,ddos,dns_AA,f1,0.9868907804475092,0.9867862309992897,0.00010454944821942646,4.160446209219112e-05,dns_RA;dns_rejected,5,15
1,ddos,dns_RA,f1,0.9868907804475092,0.9868217899579008,6.899048960840037e-05,5.986077888960098e-05,dns_AA;dns_RD,5,16
1,ddos,missed_bytes,f1,0.9868907804475092,0.9868553368768855,3.544357062368331e-05,0.0,dst_bytes;duration,5,17
1,ddos,dns_qtype,f1,0.9868907804475092,0.9868574142163231,3.3366231186171544e-05,7.17226598925459e-05,dns_qclass;dns_rejected,5,18
1,ddos,service,f1,0.9868907804475092,0.9868631787982824,2.760164922686048e-05,6.209423602906853e-05,src_bytes;proto,5,19
1,ddos,http_request_body_len,f1,0.9868907804475092,0.9868907804475093,0.0,0.0,http_status_code;http_response_body_len,5,20
1,ddos,http_response_body_len,f1,0.9868907804475092,0.9868907804475093,0.0,0.0,http_status_code;missed_bytes,5,21
1,ddos,dns_qclass,f1,0.9868907804475092,0.986891534224784,-7.537772748422711e-07,2.2418866897509504e-05,dns_qtype;dns_AA,5,22
2,dos,src_ip_bytes,f1,0.9956635487223596,0.4577015994260664,0.5379619492962932,0.004672663155852322,src_pkts;src_bytes,5,1
2,dos,conn_state,f1,0.9956635487223596,0.6957038709115665,0.29995967781079313,0.0010238199597672163,dst_bytes;service,5,2
2,dos,duration,f1,0.9956635487223596,0.7189627877822617,0.27670076094009793,0.00154639576624126,src_pkts;dst_pkts,5,3
2,dos,src_pkts,f1,0.9956635487223596,0.9303636484146722,0.06529990030768736,0.0008397464147050253,src_ip_bytes;duration,5,4
2,dos,dns_query,f1,0.9956635487223596,0.9834609466063735,0.012202602115985917,0.00029311661531201077,dns_RA;dns_rejected,5,5
2,dos,dst_ip_bytes,f1,0.9956635487223596,0.985230229611638,0.010433319110721673,0.00046539772190182477,dst_pkts;dst_bytes,5,6
2,dos,src_bytes,f1,0.9956635487223596,0.9864462797906087,0.009217268931750922,0.0001076934450715026,dst_bytes;service,5,7
2,dos,dst_bytes,f1,0.9956635487223596,0.992897219685687,0.002766329036672577,0.0002244227630332458,dst_ip_bytes;src_bytes,5,8
2,dos,dst_pkts,f1,0.9956635487223596,0.9940466543472214,0.0016168943751382558,0.0002717777452271623,dst_ip_bytes;dst_bytes,5,9
2,dos,dns_AA,f1,0.9956635487223596,0.9940575346849917,0.0016060140373679755,7.351344313047025e-05,dns_RA;dns_rejected,5,10
2,dos,dns_rejected,f1,0.9956635487223596,0.9943346632376459,0.001328885484713682,5.2613595104957825e-05,dns_AA;dns_RD,5,11
2,dos,service,f1,0.9956635487223596,0.9943429177796961,0.0013206309426635476,4.5480924954006316e-05,src_bytes;proto,5,12
2,dos,proto,f1,0.9956635487223596,0.9948497500287873,0.0008137986935723429,8.320285997369936e-05,dns_AA;dns_RA,5,13
2,dos,dns_qtype,f1,0.9956635487223596,0.9950544750027703,0.0006090737195894702,5.043291393839312e-05,dns_qclass;dns_rejected,5,14
2,dos,dns_RA,f1,0.9956635487223596,0.9950743217445458,0.0005892269778137616,6.601557843537333e-05,dns_AA;dns_RD,5,15
2,dos,missed_bytes,f1,0.9956635487223596,0.9952692980790792,0.0003942506432805137,5.948278950417754e-05,dst_bytes;duration,5,16
2,dos,dns_rcode,f1,0.9956635487223596,0.9954067050637191,0.0002568436586405598,8.850732832110331e-05,dns_RA;dns_AA,5,17
2,dos,dns_qclass,f1,0.9956635487223596,0.9955619276215206,0.00010162110083917763,2.6997762669978535e-05,dns_qtype;dns_AA,5,18
2,dos,dns_RD,f1,0.9956635487223596,0.9955699546443704,9.359407798936736e-05,3.6713148032068055e-05,dns_RA;dns_rejected,5,19
2,dos,http_status_code,f1,0.9956635487223596,0.9955777897322008,8.575899015879074e-05,1.7633935160541922e-05,http_response_body_len;http_request_body_len,5,20
2,dos,http_request_body_len,f1,0.9956635487223596,0.9956635487223597,0.0,0.0,http_status_code;http_response_body_len,5,21
2,dos,http_response_body_len,f1,0.9956635487223596,0.9956635487223597,0.0,0.0,http_status_code;missed_bytes,5,22
3,injection,src_bytes,f1,0.9802607881276565,0.7609962288883981,0.21926455923925844,0.0007574938350792068,dst_bytes;service,5,1
3,injection,conn_state,f1,0.9802607881276565,0.9015402842582134,0.07872050386944296,0.0008130859841659721,dst_bytes;service,5,2
3,injection,src_pkts,f1,0.9802607881276565,0.9135127642670742,0.0667480238605822,0.0011855882923616542,src_ip_bytes;duration,5,3
3,injection,duration,f1,0.9802607881276565,0.9382698665644105,0.04199092156324598,0.0012755456262221192,src_pkts;dst_pkts,5,4
3,injection,dst_ip_bytes,f1,0.9802607881276565,0.9504813971142145,0.02977939101344198,0.0003838607779963756,dst_pkts;dst_bytes,5,5
3,injection,dst_bytes,f1,0.9802607881276565,0.9637936248620251,0.016467163265631246,0.00045006660882952233,dst_ip_bytes;src_bytes,5,6
3,injection,dns_query,f1,0.9802607881276565,0.9645474813816429,0.015713306746013456,0.0005880181835616312,dns_RA;dns_rejected,5,7
