feature,sage_importance,rank_sage,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,macro_sage_importance,macro_sage_rank,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
dst_bytes,0.26083105891825753,6,1.1584634177268036,3,0.01668422874958564,6,0.21373238035545533,10,1,ddos,True,True,True,0.46328377848270014,0.10331696719608735,0.28330037283939374
conn_state,1.088034854802935,1,1.3601382224495269,2,0.161485854670127,1,1.001224450605037,2,1,ddos,True,True,True,0.5439360149944428,1.0,0.7719680074972214
src_pkts,0.25463359909999855,7,0.19018135734432118,8,0.004774851604287545,8,0.34503084440975285,6,1,ddos,True,True,True,0.07605586545005939,0.029568234406916364,0.05281204992848788
src_ip_bytes,1.0549345254878788,2,1.1523410501801024,4,0.012332855677246202,7,1.7985686875346651,1,1,ddos,True,True,True,0.46083536835002514,0.07637112056928437,0.2686032444596548
dst_pkts,0.1954779835829336,9,0.08507640091274163,12,0.0008620574279661674,12,0.3083056293037751,7,1,ddos,False,False,False,0.03402309979878792,0.005338284456722995,0.01968069212775546
dst_ip_bytes,0.8238220993657039,3,2.5005481986027767,1,0.08317816986317025,2,0.47135441250270754,4,1,ddos,True,True,True,1.0,0.5150802219369698,0.757540110968485
dns_query,0.3930142625988651,5,0.942021319507017,5,0.0360442029583129,4,0.23708077438241887,9,1,ddos,True,True,True,0.37672591955371515,0.223203469009355,0.29996469428153505
dns_qclass,0.006247051006545659,18,0.002064194819915689,18,4.100358183776187e-05,17,0.006615281678890859,18,1,ddos,False,False,False,0.0008254969134644525,0.00025391438724785753,0.000539705650356155
dns_qtype,0.011937624398183596,17,0.012588404746851646,15,3.4284390679006906e-05,18,0.01211968321655753,17,1,ddos,False,False,False,0.005034257989462322,0.00021230584405699726,0.00262328191675966
dns_rcode,0.07251346250406325,12,0.4446648429357594,7,0.001695733633966201,10,0.023254389568787247,15,1,ddos,True,True,True,0.17782694338154464,0.010500818399420417,0.09416388089048253
