class_id,class_name,feature,selection_sources,mean_abs_shap,cpf_importance_mean,consensus_score
7,ransomware,conn_state,shap_intersection_cpf,3.8170614136382355,0.3444113637155401,0.8612205211259842
7,ransomware,duration,shap_intersection_cpf,5.283561135646202,0.13203582889326043,0.6916833223341505
7,ransomware,src_ip_bytes,shap_intersection_cpf,3.3110213977218175,0.21755621469370148,0.6291701053446092
7,ransomware,src_pkts,shap_intersection_cpf,1.9090176864783694,0.10616394782654186,0.3347801036745147
7,ransomware,dst_ip_bytes,shap_intersection_cpf,1.310665325649057,0.09988447678665754,0.26903990203343686
7,ransomware,dst_pkts,shap_intersection_cpf,0.5117149282894696,0.016039376772276116,0.07171039493556522
7,ransomware,proto,shap_intersection_cpf,0.3646316195518858,0.02065576623758101,0.06449329321518465
7,ransomware,dns_AA,shap_intersection_cpf,0.18450183148244828,0.0008738174114959252,0.018728554788462214
7,ransomware,dns_RD,shap_intersection_cpf,0.08430560265056185,0.0007850861248458907,0.009117854818756727
8,scanning,src_ip_bytes,shap_intersection_cpf,15.04963181672289,0.7852604986130146,1.0
8,scanning,conn_state,shap_intersection_cpf,0.8769140559014977,0.08031924152634548,0.08027585147629811
8,scanning,proto,shap_intersection_cpf,0.1562776195112677,0.09072423972275465,0.06295904476036832
8,scanning,duration,shap_intersection_cpf,1.5410462612106128,0.0036553176538090203,0.05352625818377133
8,scanning,dns_query,shap_intersection_cpf,0.4165069260379878,0.006745232976095172,0.018132679423930154
8,scanning,dst_ip_bytes,shap_intersection_cpf,0.34181224588438086,0.0012571619252721654,0.012156640830954975
8,scanning,dst_bytes,shap_intersection_cpf,0.32352102218921347,0.001624860334373035,0.0117830692289314
8,scanning,src_bytes,shap_intersection_cpf,0.3122836483002068,0.0010274732529515606,0.011029350314716987
8,scanning,dst_pkts,shap_intersection_cpf,0.09882759644544717,0.0030757301743384426,0.005241803091584897
9,xss,conn_state,shap_intersection_cpf,2.7278410982861487,0.49164392319327643,1.0
9,xss,src_ip_bytes,shap_intersection_cpf,1.4428820461618388,0.26017354383120433,0.5290687627359338
9,xss,src_bytes,shap_intersection_cpf,1.8314251757640378,0.08320264998130056,0.4203081018268834
9,xss,duration,shap_intersection_cpf,0.8532414533522766,0.06889424851012978,0.2264601953455832
9,xss,src_pkts,shap_intersection_cpf,0.7834120542378149,0.05829735172965209,0.20288380254639482
9,xss,dst_bytes,shap_intersection_cpf,0.7813216955320595,0.006057196158246602,0.14937261043784153
9,xss,dns_query,shap_intersection_cpf,0.4506765836731752,0.017204939650816264,0.10010418304303277
9,xss,dst_ip_bytes,shap_intersection_cpf,0.38068149994043715,0.00810328128735518,0.07801807284272408
9,xss,proto,shap_intersection_cpf,0.19940424370761925,0.031020090027763226,0.06809714117517127
9,xss,dst_pkts,shap_intersection_cpf,0.28052592047222863,0.0026189322050282015,0.05408248031217421
