feature,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
dns_RD,0.08468591788325949,11,0.0,15,0,backdoor,False,False,False,0.005835322241801255,0.0,0.0029176611209006274
dns_RA,0.03973555866487459,12,0.0,16,0,backdoor,False,False,False,0.0027379970019003213,0.0,0.0013689985009501607
dns_rejected,1.304144422021508e-10,18,0.0,17,0,backdoor,False,False,False,8.986267306960954e-12,0.0,4.493133653480477e-12
http_request_body_len,0.0,20,0.0,18,0,backdoor,False,False,False,0.0,0.0,0.0
http_response_body_len,0.0,21,0.0,19,0,backdoor,False,False,False,0.0,0.0,0.0
http_status_code,0.0,22,0.0,20,0,backdoor,False,False,False,0.0,0.0,0.0
proto,0.0974041077319633,13,0.0003644164871667188,13,1,ddos,False,False,False,0.03680040359166328,0.002151090392593887,0.019475746992128586
service,0.11217652869932987,12,0.00014457761768049693,17,1,ddos,False,False,False,0.04238159586664416,0.0008534178208966387,0.0216175068437704
duration,1.0133599007992917,6,0.08515982001610042,2,1,ddos,True,True,True,0.38285914425336254,0.5026843656166723,0.4427717549350174
src_bytes,0.3987377473529561,8,0.043405071537546316,3,1,ddos,True,True,True,0.15064775368815633,0.25621297515979496,0.20343036442397566
dst_bytes,1.5646211972825297,3,0.024342608586736314,4,1,ddos,True,True,True,0.5911320668992072,0.14369040179470818,0.36741123434695766
conn_state,1.7433161453783832,2,0.16941012261566937,1,1,ddos,True,True,True,0.6586450944587297,1.0,0.8293225472293648
missed_bytes,0.00580597697850214,19,0.00017628832134841677,15,1,ddos,False,False,False,0.0021935655592753905,0.0010406008721707354,0.001617083215723063
src_pkts,0.25558729091612087,9,0.004976171335959756,8,1,ddos,True,True,True,0.09656384805141645,0.02937351829470603,0.06296868317306124
src_ip_bytes,1.3283457356328325,4,0.021597159013453115,5,1,ddos,True,True,True,0.5018644523193128,0.12748446598111082,0.3146744591502118
dst_pkts,0.12651417653977287,11,0.0005626386951392837,10,1,ddos,False,True,False,0.04779852580285771,0.003321163378269364,0.025559844590563537
dst_ip_bytes,2.6468217254559976,1,0.011847572235196613,7,1,ddos,True,True,True,1.0,0.06993426397591655,0.5349671319879583
dns_query,0.8511649192438546,7,0.017225571557829535,6,1,ddos,True,True,True,0.3215799957578234,0.10167970657165605,0.21162985116473973
dns_qclass,0.010021759762485958,18,0.00013631718842295194,18,1,ddos,False,False,False,0.0037863372761757865,0.00080465787001528,0.0022954975730955333
dns_qtype,0.07546234918061816,15,0.00045825134282613257,11,1,ddos,False,False,False,0.0285105522804402,0.0027049820621742895,0.015607767171307244
dns_rcode,1.2402494873354597,5,0.004563704408883607,9,1,ddos,True,True,True,0.46858066616548877,0.026938794083969885,0.24775973012472932
dns_AA,0.0257395215777062,17,0.00013512308954530817,19,1,ddos,False,False,False,0.009724690306927176,0.000797609301374829,0.005261149804151002
dns_RD,0.08524189362848586,14,-0.00013991133557917924,22,1,ddos,False,False,False,0.032205377796572336,0.0,0.016102688898286168
dns_RA,0.026415881753253233,16,0.0002138977792046193,14,1,ddos,False,False,False,0.009980227039545805,0.0012626032960844755,0.0056214151678151405
dns_rejected,0.14021410212690666,10,0.0003889795760634751,12,1,ddos,True,False,False,0.05297451686238914,0.0022960822532779213,0.02763529955783353
http_request_body_len,0.0,20,0.0,20,1,ddos,False,False,False,0.0,0.0,0.0
http_response_body_len,0.0,21,0.0,21,1,ddos,False,False,False,0.0,0.0,0.0
http_status_code,0.0,22,0.00017628832134841677,16,1,ddos,False,False,False,0.0,0.0010406008721707354,0.0005203004360853677
proto,0.007232318323927082,18,0.0005270159684332976,13,2,dos,False,False,False,0.0013903762106664125,0.0010128096814785612,0.0012015929460724869
service,0.03661658111837299,12,0.00020123529837043908,15,2,dos,False,False,False,0.0070393504575831,0.0003867303282113045,0.003713040392897202
duration,1.8339186792639068,4,0.012470395809320346,4,2,dos,True,True,True,0.3525614871665058,0.023965379351020315,0.18826343325876307
src_bytes,1.2698065902491662,5,0.009395889135443269,5,2,dos,True,True,True,0.2441138230031914,0.01805684846849305,0.13108533573584222
dst_bytes,0.12716165481346256,8,0.0013903383200501995,10,2,dos,True,True,True,0.02444617781502879,0.0026719268398329465,0.01355905232743087
conn_state,3.956171738171384,2,0.30700358184414356,2,2,dos,True,True,True,0.7605537842363008,0.589993887404758,0.6752738358205295
missed_bytes,0.0038466974107664253,19,0.000717242922487138,12,2,dos,False,False,False,0.0007395079046600391,0.0013783843742467023,0.0010589461394533706
src_pkts,2.0062341075336247,3,0.02782975758813009,3,2,dos,True,True,True,0.38568824700565496,0.05348272084098537,0.21958548392332017
src_ip_bytes,5.201698841251466,1,0.5203504449759283,1,2,dos,True,True,True,1.0,1.0,1.0
dst_pkts,0.1178580179480873,9,0.002544352459120547,7,2,dos,True,True,True,0.022657601207787738,0.004889690176469917,0.013773645692128828
dst_ip_bytes,0.2139453300528916,7,0.0019911342001889265,8,2,dos,True,True,True,0.04112989555570251,0.0038265254107374452,0.02247821048321998
dns_query,0.2388939225289981,6,0.0037480744880918236,6,2,dos,True,True,True,0.04592613486856981,0.007202981229823319,0.026564558049196562
dns_qclass,0.028432904411535828,14,-0.0005152536508115535,21,2,dos,False,False,False,0.005466080463184834,0.0,0.002733040231592417
dns_qtype,0.017728321213256053,16,-0.0005799045365944,22,2,dos,False,False,False,0.0034081790880824683,0.0,0.0017040895440412341
dns_rcode,0.01455484630475773,17,0.0017328716777515797,9,2,dos,False,True,False,0.002798094766527469,0.0033302012028292647,0.003064147984678367
dns_AA,0.0624680850724102,10,-0.0003692069313124824,20,2,dos,True,False,False,0.012009169884464347,0.0,0.006004584942232174
dns_RD,0.03919000648903083,11,3.252116480068068e-06,17,2,dos,False,False,False,0.00753407832422728,6.249858170522968e-06,0.0037701640911989016
dns_RA,0.03190821468666129,13,0.0013319154971421776,11,2,dos,False,False,False,0.0061341910903447375,0.0025596509237227477,0.004346921007033743
dns_rejected,0.020148883116938087,15,0.0001283792210842849,16,2,dos,False,False,False,0.003873519734966146,0.00024671684693230886,0.0020601182909492275
http_request_body_len,0.0,21,0.0,18,2,dos,False,False,False,0.0,0.0,0.0
http_response_body_len,0.0,22,0.0,19,2,dos,False,False,False,0.0,0.0,0.0
http_status_code,3.508154932330506e-05,20,0.00021332427250195796,14,2,dos,False,False,False,6.74424844535307e-06,0.00040996269833463186,0.00020835347338999248
proto,0.03387955466541598,13,0.0023397553158356343,10,3,injection,False,True,False,0.008074614084080112,0.009591338259273894,0.008832976171677002
service,0.0879985881479759,10,0.00010528109467389246,15,3,injection,True,False,False,0.020972962787026855,0.0004315778596546538,0.010702270323340755
duration,1.4552116011517262,3,0.05316096132053727,4,3,injection,True,True,True,0.346824868449971,0.21792225826457642,0.2823735633572737
src_bytes,4.195811008753077,1,0.24394461467077527,1,3,injection,True,True,True,1.0,1.0,1.0
dst_bytes,2.5178691466024152,2,0.01943392384889726,5,3,injection,True,True,True,0.6000911722071778,0.0796653120427563,0.33987824212496703
conn_state,1.364373386825667,5,0.09261018363398547,2,3,injection,True,True,True,0.32517512918941865,0.37963610616684884,0.3524056176781337
missed_bytes,0.012678139522498301,16,0.00025527520098234113,13,3,injection,False,False,False,0.003021618346500794,0.0010464473721908455,0.0020340328593458196
src_pkts,0.30701896962416036,9,0.06897277957063838,3,3,injection,True,True,True,0.073172735612656,0.28273950488197175,0.1779561202473139
src_ip_bytes,0.8509850269329426,6,0.008617795236817449,8,3,injection,True,True,True,0.20281776875976135,0.035326851746442206,0.11907231025310178
dst_pkts,0.38623403769171577,7,0.004954440395555082,9,3,injection,True,True,True,0.09205229617968372,0.020309693666496945,0.05618099492309033
dst_ip_bytes,1.4176326052841355,4,0.018238312587425854,6,3,injection,True,True,True,0.3378685556443667,0.07476415337981558,0.20631635451209113
dns_query,0.33283404489800517,8,0.015205524480433686,7,3,injection,True,True,True,0.07932531856264845,0.06233187193312252,0.07082859524788548
dns_qclass,0.0018414917995902718,19,9.762857478281539e-05,16,3,injection,False,False,False,0.00043888816625645193,0.0004002079525902785,0.0004195480594233652
dns_qtype,0.07063935621780666,11,-0.00037866792366314517,22,3,injection,False,False,False,0.016835685894918195,0.0,0.008417842947459097
dns_rcode,0.027423786664761474,14,0.0007735291824096713,11,3,injection,False,False,False,0.0065359918755995994,0.0031709213316867724,0.004853456603643186
dns_AA,0.004402819662049421,18,0.00025527520098234113,14,3,injection,False,False,False,0.001049336982257898,0.0010464473721908455,0.0010478921772243718
dns_RD,0.04059177786556251,12,-0.00013665303458170185,21,3,injection,False,False,False,0.009674358015859653,0.0,0.0048371790079298265
dns_RA,0.011739243462451497,17,-6.629621986906642e-05,20,3,injection,False,False,False,0.002797848482203253,0.0,0.0013989242411016265
dns_rejected,0.012973187806694873,15,0.00037617954622772844,12,3,injection,False,False,False,0.003091938073385789,0.0015420694846468156,0.002317003779016302
http_request_body_len,0.0,22,0.0,18,3,injection,False,False,False,0.0,0.0,0.0
http_response_body_len,1.4471557085944655e-05,21,0.0,19,3,injection,False,False,False,3.4490488384140427e-06,0.0,1.7245244192070213e-06
http_status_code,0.00043546240575703546,20,3.7017699648389525e-05,17,3,injection,False,False,False,0.00010378503818417869,0.0001517463285604733,0.000127765683372326
proto,0.10184011881099075,15,0.02264870955940761,7,4,mitm,False,True,False,0.06062885800467491,0.28640569518336884,0.17351727659402189
service,0.499073230457048,10,0.011475979405252112,10,4,mitm,True,True,True,0.297115128856755,0.1451202264239386,0.2211176776403468
duration,1.6097042078433836,2,0.06895527266418722,2,4,mitm,True,True,True,0.9583112135600891,0.8719782799167054,0.9151447467383973
src_bytes,1.222058720591445,4,0.032221056172217245,6,4,mitm,True,True,True,0.7275327789201015,0.40745341222820775,0.5674930955741546
dst_bytes,0.9129835482149553,7,0.034844481790101,5,4,mitm,True,True,True,0.5435299030636538,0.4406281074964316,0.49207900528004267
conn_state,0.6389492380220007,8,0.01478600023631873,9,4,mitm,True,True,True,0.3803880344653561,0.18697730506704796,0.28368266976620204
missed_bytes,0.056004820059526735,17,0.011440950004939499,11,4,mitm,False,False,False,0.03334155853910852,0.1446772599175213,0.08900940922831492
src_pkts,0.9717547805459668,6,0.0790791172811943,1,4,mitm,True,True,True,0.5785184001447482,1.0,0.7892592000723742
src_ip_bytes,1.504163920034997,3,0.03860256907543995,4,4,mitm,True,True,True,0.8954795201369602,0.48815123894434237,0.6918153795406513
dst_pkts,0.2999801883728371,11,0.005362184829515404,12,4,mitm,False,False,False,0.17858832508657235,0.06780784882117771,0.12319808695387503
dst_ip_bytes,1.6797301180097797,1,0.015993477114352374,8,4,mitm,True,True,True,1.0,0.20224653061669623,0.6011232653083481
dns_query,1.2041770260317064,5,0.06480645752134066,3,4,mitm,True,True,True,0.7168872029623842,0.8195141745310327,0.7682006887467084
dns_qclass,0.031015132272204572,18,-0.0012438500977393296,19,4,mitm,False,False,False,0.018464354445791985,0.0,0.009232177222895993
dns_qtype,0.12317203082795754,14,-0.003013606221826204,21,4,mitm,False,False,False,0.07332846479760531,0.0,0.036664232398802656
dns_rcode,0.06919158471112712,16,0.00020837398518205318,15,4,mitm,False,False,False,0.04119208435287714,0.0026350064637305497,0.021913545408303845
dns_AA,0.24025538305744476,13,0.0032518098268898175,14,4,mitm,False,False,False,0.1430321338418997,0.04112096769273279,0.09207655076731625
dns_RD,0.02111155818946826,19,-0.001666066735085403,20,4,mitm,False,False,False,0.012568422726433095,0.0,0.006284211363216548
dns_RA,0.29281916664677754,12,0.003691207529997054,13,4,mitm,False,False,False,0.17432512729707017,0.046677399254112,0.11050126327559108
dns_rejected,0.5692377858252107,9,-0.005725193935896278,22,4,mitm,True,False,False,0.3388864554620652,0.0,0.1694432277310326
http_request_body_len,0.0,21,0.0,16,4,mitm,False,False,False,0.0,0.0,0.0
http_response_body_len,0.0,22,0.0,17,4,mitm,False,False,False,0.0,0.0,0.0
http_status_code,0.0002366278651718576,20,0.0,18,4,mitm,False,False,False,0.0001408725500809767,0.0,7.043627504048835e-05
proto,2.227164002206721,2,0.05822638890024094,2,5,normal,True,True,True,0.8049909665208065,0.5698367404265833,0.6874138534736949
service,0.4220409394851701,11,0.0002281540879301769,13,5,normal,False,False,False,0.15254338856541122,0.002232846381799131,0.07738811747360518
duration,0.9507445572791692,6,0.01843693883676094,5,5,normal,True,True,True,0.3436391659169414,0.18043442721794245,0.26203679656744194
src_bytes,0.16492385679906155,15,0.0052203878227911945,8,5,normal,False,True,False,0.05961043495471013,0.05108970068191284,0.055350067818311484
dst_bytes,0.178018778975446,14,0.003943558202909525,10,5,normal,False,True,False,0.06434349190464193,0.03859391582532399,0.051468703864982965
conn_state,1.0100179484050802,5,0.052312606970600715,3,5,normal,True,True,True,0.36506306840644653,0.5119610884751384,0.4385120784407925
missed_bytes,0.005199261832034027,20,0.00041547674561890344,11,5,normal,False,False,False,0.0018792324243822494,0.004066093036477846,0.0029726627304300477
src_pkts,2.7666944038298795,1,0.10218082613741668,1,5,normal,True,True,True,1.0,1.0,1.0
src_ip_bytes,0.8163179634152449,7,0.017404513455077052,6,5,normal,True,True,True,0.2950517275363814,0.17033052200684695,0.2326911247716142
dst_pkts,1.0867697846448234,4,0.009047786357909348,7,5,normal,True,True,True,0.3928044178426175,0.08854681156855729,0.2406756147055874
dst_ip_bytes,0.5453929120241187,10,0.037113717726895354,4,5,normal,True,True,True,0.19712799189861455,0.36321606635851045,0.2801720291285625
dns_query,1.5793860577334566,3,0.005009957415578104,9,5,normal,True,True,True,0.5708567073931781,0.04903030837547273,0.3099435078843254
dns_qclass,0.00872147110984995,19,0.0,18,5,normal,False,False,False,0.0031523073519709992,0.0,0.0015761536759854996
dns_qtype,0.6646262451935308,9,0.0001712341689956931,14,5,normal,True,False,False,0.24022394532388613,0.001675795503604667,0.1209498704137454
dns_rcode,0.017670900768541015,18,0.00014347267541015007,15,5,normal,False,False,False,0.006387008534111878,0.0014041056510661065,0.0038955570925889925
dns_AA,0.08097972192698417,16,4.286018357535504e-05,16,5,normal,False,False,False,0.029269485569091248,0.00041945426745439526,0.014844469918272821
dns_RD,0.22464231563618334,13,1.3992253089378793e-05,17,5,normal,False,False,False,0.08119520367887957,0.00013693619065637105,0.04066606993476797
dns_RA,0.7124659863004542,8,-1.4258084626472823e-05,21,5,normal,True,False,False,0.25751524465954817,0.0,0.12875762232977409
dns_rejected,0.40498734053818747,12,-8.597389694506852e-05,22,5,normal,False,False,False,0.14637949893474742,0.0,0.07318974946737371
http_request_body_len,0.0,22,0.0,19,5,normal,False,False,False,0.0,0.0,0.0
http_response_body_len,0.004785348933428647,21,0.0,20,5,normal,False,False,False,0.0017296268524649432,0.0,0.0008648134262324716
http_status_code,0.03967189274487235,17,0.0003440042912164154,12,5,normal,False,False,False,0.014339094585204404,0.003366622723854134,0.00885285865452927
proto,0.0733657999211847,14,0.002083453802129531,6,6,password,False,True,False,0.013977793613529792,0.006760192999115624,0.010368993306322708
